province,cityname,lon,lat
湖南省,邵阳,111.28,27.14
湖南省,武冈,110.37,26.43
湖南省,湘潭,112.53,27.52
湖南省,湘乡,112.31,27.44
湖南省,益阳,112.2,28.36
湖南省,永州,111.37,26.13
湖南省,沅江,112.22,28.5
湖南省,岳阳,113.06,29.22
湖南省,张家界,110.29,29.08
湖南省,株洲,113.09,27.51
湖南省,资兴,113.13,25.58
吉林省,长春,125.19,43.54
吉林省,白城,122.5,45.38
吉林省,白山,126.26,41.56
吉林省,大安,124.18,45.3
吉林省,德惠,125.42,44.32
吉林省,敦化,128.13,43.22
吉林省,公主岭,124.49,43.31
吉林省,和龙,129,42.32
吉林省,桦甸,126.44,42.58
吉林省,珲春,130.22,42.52
吉林省,集安,126.11,41.08
吉林省,蛟河,127.21,43.42
吉林省,吉林,126.33,43.52
吉林省,九台,125.51,44.09
吉林省,辽源,125.09,42.54
吉林省,临江,126.53,41.49
吉林省,龙井,129.26,42.46
吉林省,梅河口,125.4,42.32
吉林省,舒兰,126.57,44.24
吉林省,四平,124.22,43.1
吉林省,松原,124.49,45.11
吉林省,洮南,122.47,45.2
吉林省,通化,125.56,41.43
吉林省,图们,129.51,42.57
吉林省,延吉,129.3,42.54
吉林省,愉树,126.32,44.49
江苏省,南京,118.46,32.03
江苏省,常熟,120.43,31.39
江苏省,常州,119.58,31.47
江苏省,丹阳,119.32,32
江苏省,东台,120.19,32.51
江苏省,高邮,119.27,32.47
江苏省,海门,121.09,31.53
江苏省,淮安,119.09,33.3
江苏省,淮阴,119.02,33.36
江苏省,江都,119.32,32.26
江苏省,姜堰,120.08,32.34
江苏省,江阴,120.17,31.54
江苏省,靖江,120.17,32.02
江苏省,金坛,119.33,31.46
江苏省,昆山,120.57,31.23
江苏省,连去港,119.1,34.36
江苏省,溧阳,119.29,31.26
江苏省,南通,120.51,32.01
江苏省,邳州,117.59,34.19
江苏省,启乐,121.39,31.48
江苏省,如皋,120.33,32.23
江苏省,宿迁,118.18,33.58
江苏省,苏州,120.37,31.19
江苏省,太仓,121.06,31.27
江苏省,泰兴,120.01,32.1
江苏省,泰州,119.54,32.3
江苏省,通州,121.03,32.05
江苏省,吴江,120.39,31.1
江苏省,无锡,120.18,31.34
江苏省,兴化,119.5,32.56
江苏省,新沂,118.2,34.22
江苏省,徐州,117.11,34.15
江苏省,盐在,120.08,33.22
江苏省,扬中,119.49,32.14
江苏省,扬州,119.26,32.23
江苏省,宜兴,119.49,31.21
江苏省,仪征,119.1,32.16
江苏省,张家港,120.32,31.52
江苏省,镇江,119.27,32.11
江西省,南昌,115.55,28.4
江西省,德兴,117.35,28.57
江西省,丰城,115.48,28.12
江西省,赣州,114.56,28.52
江西省,高安,115.22,28.25
江西省,吉安,114.58,27.07
江西省,景德镇,117.13,29.17
江西省,井冈山,114.1,26.34
江西省,九江,115.58,29.43
江西省,乐平,117.08,28.58
江西省,临川,116.21,27.59
江西省,萍乡,113.5,27.37
江西省,瑞昌,115.38,29.4
江西省,瑞金,116.01,25.53
江西省,上饶,117.58,25.27
江西省,新余,114.56,27.48
江西省,宜春,114.23,27.47
江西省,鹰潭,117.03,28.14
江西省,樟树,115.32,28.03
辽宁省,沈阳,123.25,41.48
辽宁省,鞍山,123,41.07
