countryname	lon	lat
安徽凤阳	117.4	32.86
安徽巢湖	117.87	31.62
安徽巢县	117.87	31.62
安徽肥东	117.47	31.89
安徽含山	118.11	31.7
安徽和县	118.37	31.7
安徽无为	117.75	31.3
安徽卢江	117.29	31.23
安徽宣城	118.73	31.95
安徽当涂	118.49	31.55
安徽郎溪	119.17	31.14
安徽广德	119.41	30.89
安徽泾县	118.41	30.68
安徽南陵	118.32	30.91
安徽繁昌	118.21	31.07
安徽宁国	118.95	30.62
安徽青阳	117.84	30.64
安徽屯溪	118.31	29.72
安徽休宁	118.19	29.81
安徽旌得	118.53	30.28
安徽绩溪	118.57	30.07
安徽歙县	118.44	29.88
安徽祁门	117.7	29.86
安徽黟县	117.92	29.93
安徽太平	118.13	30.28
安徽石台	117.48	30.19
安徽桐城	116.94	31.04
安徽纵阳	117.21	30.69
安徽怀宁	116.63	30.41
安徽望江	116.69	30.12
安徽宿松	116.13	30.15
安徽太湖	116.27	30.42
安徽岳西	116.36	30.84
安徽潜山	116.53	30.62
安徽东至	116.99	30.08
安徽贵池	117.48	30.66
安徽六安	116.49	31.73
安徽霍丘	116.27	32.32
安徽寿县	116.78	32.57
安徽肥西	117.15	31.7
安徽舒城	116.94	31.45
安徽霍山	116.32	31.38
安徽金寨	115.87	31.67
安徽阜阳	115.81	32.89
安徽毫县	116.76	33.86
安徽涡阳	116.21	33.49
安徽蒙城	116.55	33.25
安徽利辛	116.19	33.12
安徽颖上	116.26	32.62
安徽阜南	115.6	32.63
安徽临泉	115.24	33.06
安徽界首	115.34	33.24
安徽太和	115.61	33.16
山东济南	117	36.65
山东历城	117.07	36.69
山东长清	116.73	36.55
山东章丘	117.53	36.72
山东青岛	120.33	36.07
山东崂山	120.42	36.15
山东胶南	119.97	35.88
山东即墨	120.45	36.38
山东胶县	120	36.28
山东淄博	118.05	36.78
山东枣庄	117.57	34.86
山东滕县	117.17	35.09
山东东营	118.49	37.46
山东垦利	118.54	37.59
山东利津	118.25	37.49
山东德州	116.29	37.45
山东宁津	116.8	37.64
山东乐陵	117.22	37.74
山东商河	117.15	37.31
山东济阳	117.2	36.97
山东禹城	116.66	36.95
山东夏津	116	36.95
山东陵县	116.58	37.34
山东庆云	117.37	37.37
山东临邑	116.86	37.2
山东齐河	116.76	36.79
山东平原	116.44	37.16
山东武城	116.08	37.2
山东滨州	118.03	37.36
山东滨县	117.97	37.47
山东广饶	118.41	37.04
山东桓台	118.12	36.95
山东邹平	117.75	36.89
山东阳信	117.58	37.65
山东沾化	118.14	37.7
山东博兴	118.12	37.12
山东高青	117.66	37.18
山东惠民	117.51	17.49
山东无棣	117.58	37.73
山东潍坊	119.1	36.62
山东潍县	119.22	36.77
山东平度	119.97	36.77
山东诸城	119.42	35.99
山东安丘	119.2	36.42
山东临朐	118.53	36.5
山东寿光	118.73	36.86
山东昌邑	119.41	36.86
山东高密	119.75	36.38
山东五莲	119.2	35.74
山东昌乐	118.83	36.69
山东高都	118.47	36.69
山东烟台	121.39	37.52
山东牟平	121.59	37.38
