countryname	lon	lat
西藏自治区萨嘎	85.3	29.38
西藏自治区噶尔	80	32.08
西藏自治区革吉	81.13	32.45
西藏自治区扎达	79.76	31.47
西藏自治区措勤	85.16	31.06
西藏自治区日上	79.61	33.44
西藏自治区改则	84.1	32.33
西藏自治区普兰	81.18	30.37
贵州贵阳	106.71	26.57
贵州六盘水	104.82	26.58
贵州水城	104.82	26.58
贵州盘县	104.64	25.81
贵州六枝	105.47	26.21
贵州遵义	106.9	27.7
贵州绥阳	107.19	27.95
贵州道真	107.6	28.89
贵州凤冈	107.72	27.97
贵州余庆	107.88	27.22
贵州赤水	105.69	28.57
贵州桐梓	106.8	28.16
贵州正安	107.43	28.56
贵州务川	107.87	28.54
贵州湄潭	107.5	27.76
贵州仁怀	106.41	27.81
贵州习水	106.2	28.33
贵州铜仁	109.21	27.73
贵州玉屏	108.91	27.24
贵州思南	108.23	27.94
贵州德江	108.13	28.27
贵州万山	109.2	27.52
贵州江口	108.82	27.68
贵州师阡	108.24	27.52
贵州印江	108.41	28.02
贵州沿河	108.48	28.57
贵州松桃	109.18	28.17
贵州毕节	105.29	27.32
贵州黔西	106.04	27.03
贵州织金	105.76	26.66
贵州赫章	104.71	27.13
贵州大方	105.61	27.16
贵州金沙	106.22	27.46
贵州钠雍	105.38	26.77
贵州威宁	104.28	26.87
贵州安顺	105.92	26.25
贵州息烽	106.73	27.1
贵州清镇	106.46	26.56
贵州普定	105.75	26.32
贵州开阳	106.95	27.06
贵州修文	106.59	26.84
贵州平坝	106.26	26.42
贵州镇宁	105.75	26.08
贵州紫云	106.06	25.75
贵州关岭	105.62	25.94
贵州兴义	104.91	25.1
贵州普安	104.96	25.79
贵州贞丰	105.63	25.39
贵州望谟	106.09	25.17
贵州册亭	105.79	25
贵州安龙	105.49	25.11
贵州兴仁	105.18	25.44
贵州晴龙	105.21	25.83
贵州凯里	107.97	26.59
贵州施秉	108.11	27.03
贵州镇远	108.41	27.06
贵州天柱	109.2	26.89
贵州剑河	108.58	26.64
贵州黎平	109.14	26.24
贵州从江	108.9	25.76
贵州麻江	107.58	26.49
贵州黄平	107.89	26.89
贵州三穗	108.68	26.98
贵州岑巩	108.72	27.21
贵州锦屏	109.18	26.7
贵州台江	108.32	26.68
贵州榕江	108.5	25.94
贵州雷山	108.07	26.38
贵州丹寨	107.79	26.21
贵州都匀	107.53	26.72
贵州贵定	107.22	26.58
贵州瓮安	107.48	27.08
贵州平塘	107.55	25.83
贵州长顺	106.45	26.03
贵州惠水	106.66	26.14
贵州荔波	107.88	25.42
贵州福泉	107.51	26.7
贵州独山	107.54	25.84
贵州罗甸	106.74	25.43
贵州龙里	106.98	26.46
贵州三都	107.86	26
辽宁沈阳	123.38	41.8
辽宁新民	122.83	42
辽宁辽中	122.7	41.52
辽宁大连	121.62	38.92
辽宁金县	121.7	39.13
辽宁复县	121.97	39.63
辽宁新金	121.95	39.55
辽宁庄河	22.97	39.7
辽宁长海	122.58	39.28
辽宁鞍山	122.85	41.12
辽宁海城	122.75	40.85
辽宁台安	122.4	41.4
辽宁抚顺	123.97	41.97
辽宁新宾	125.02	41.72
辽宁清原	124.9	42.13
辽宁本溪	123.73	41.3
辽宁垣仁	125.33	41.28
辽宁锦州	121.15	41.13
辽宁锦县	121.35	41.17
辽宁义县	121.22	41.55
辽宁黑山	122.12	41.7
辽宁北镇	121.8	41.6
辽宁锦西	120.83	40.77
辽宁兴城	120.68	40.63
辽宁绥中	120.32	40.35
辽宁丹东	124.37	40.13
辽宁东沟	124.13	39.97
辽宁岫岩	123.25	40.3
辽宁凤城	124.05	40.47
辽宁宽甸	124.77	40.75
辽宁阜新	121.65	42
辽宁彰武	122.52	42.42
辽宁营口	122.18	40.65
辽宁盖县	122.37	40.42
辽宁盘山	122.03	41.02
辽宁大洼	122.06	41
辽宁辽阳	123.17	41.28
辽宁灯塔	123.34	41.43
辽宁铁岭	123.85	42.32
辽宁开原	124.03	42.53
辽宁昌图	124.13	42.8
辽宁铁法	123.5	42.48
辽宁康平	123.33	42.75
辽宁法库	123.37	42.52
辽宁西丰	124.7	42.77
辽宁朝阳	120.42	41.58
辽宁建昌	119.78	40.82
辽宁北票	120.75	41.82
辽宁凌源	119.37	41.27
辽宁建平	119.63	41.38
重庆重庆	106.54	29.59
重庆綦江	106.56	29.41
重庆长寿	106.64	29.01
重庆南桐	107.04	29.86
重庆合川	106.28	29.26
重庆潼南	106.22	30.03
重庆铜梁	105.8	30.16
重庆壁山	106.03	29.86
重庆荣昌	106.21	29.62
重庆大足	105.59	29.4
重庆永川	105.71	29.75
重庆万盛	105.91	29.38
陕西西安	108.95	34.27
陕西长安	108.97	34.18
陕西铜川	109.11	35.09
陕西耀县	108.98	34.91
陕西宝鸡	107.15	34.38
陕西凤翔	107.39	34.53
陕西千阳	107.13	34.65
陕西陇县	106.86	34.91
陕西麟游	107.8	34.69
陕西岐山	107.63	34.46
陕西浮风	107.87	34.38
陕西武功	108.22	34.28
陕西眉县	107.76	34.29
陕西太白	107.3	34.09
陕西凤县	106.51	33.93
陕西榆林	109.77	38.3
陕西神木	110.51	38.83
陕西府谷	111.07	39.05
陕西佳县	110.48	38.04
陕西米脂	110.23	37.78
陕西吴堡	110.73	37.49
陕西绥德	110.24	37.49
陕西清涧	110.15	37.11
陕西子洲	110.05	37.45
陕西横山	109.32	37.97
陕西靖边	108.79	37.61
陕西定边	107.59	37.6
陕西延安	109.47	36.6
陕西安寨	109.34	36.88
陕西子长	109.65	37.16
陕西延川	110.18	36.87
陕西延长	110.02	36.59
陕西宜川	110.15	36.04
陕西黄龙	109.86	35.6
陕西洛川	109.42	35.76
陕西宜君	109.11	35.43
陕西黄陵	109.27	35.6
陕西富县	109.37	36
陕西甘泉	109.37	36.29
陕西志丹	108.78	36.84
陕西吴旗	108.22	36.93
陕西咸阳	108.72	34.36
陕西礼泉	108.43	34.5
陕西永寿	108.14	34.71
陕西彬县	108.09	35.04
陕西长武	107.8	35.22
陕西旬邑	108.33	35.13
陕西淳化	108.57	34.81
陕西泾阳	108.84	34.53
陕西三原	108.94	34.62
陕西高陵	109.1	34.55
陕西户县	108.61	34.12
陕西周至	108.22	34.18
陕西兴平	108.49	34.32
陕西乾县	108.25	34.54
陕西渭南	109.5	34.52
陕西蒲城	109.59	34.97
陕西白水	109.6	35.18
陕西成城	109.93	35.2
陕西韩城	110.45	35.47
陕西合阳	110.15	35.24
陕西人荔	109.96	34.82
陕西潼关	110.25	34.56
陕西华阴	110.09	34.58
陕西华县	109.77	34.53
陕西蓝田	109.32	34.17
陕西临潼	109.22	34.38
陕西富平	109.17	34.76
陕西商县	109.96	33.88
陕西洛南	110.15	34.11
陕西丹凤	110.35	33.71
陕西商南	110.88	33.54
陕西山阳	109.91	33.55
陕西镇安	109.16	33.45
陕西柞水	109.14	33.69
陕西安康	109.02	32.7
陕西旬阳	109.35	32.83
陕西白河	110.06	32.83
陕西平利	109.37	32.41
陕西镇坪	109.51	31.91
陕西岚皋	108.89	32.3
陕西紫阳	108.55	32.56
陕西汉阴	108.53	32.9
陕西石泉	108.26	33.05
陕西宁陕	108.33	33.34
陕西汉中	108.04	33.07
陕西留坝	106.95	33.65
陕西城固	107.32	33.16
陕西洋县	107.56	33.23
陕西佛坪	108	33.55
陕西西乡	107.77	33
陕西镇巴	107.91	32.56
陕西南郑	106.93	33
陕西宁强	106.25	32.82
陕西勉县	106.68	33.16
陕西略阳	106.16	33.34
青海西宁	101.74	36.56
青海大通	101.67	36.92
青海平安	102.09	36.47
青海湟中	101.57	36.49
青海乐都	102.38	36.49
青海民和	102.8	36.3
青海湟源	101.28	36.72
青海互助	101.95	36.84
青海化隆	102.3	36.11
青海循化	102.46	35.84
青海门源	101.62	37.37
青海海晏	100.99	36.89
青海刚察	100.17	37.32
青海祁连	100.22	38.2
青海同仁	102	35.54
青海尖扎	102	35.92
青海泽库	101.5	35.03
青海河南	101.62	34.75
青海共和	100.61	36.27
青海贵德	101.47	36.02
青海贵南	100.75	35.57
青海同德	100.63	35.24
青海兴海	99.99	35.6
青海玛沁	100.26	34.49
青海甘德	99.89	33.95
青海久治	101.47	33.46
青海班玛	100.73	32.92
青海达日	99.68	33.74
青海玛多	98.26	34.92
青海玉树	96.97	33.03
青海称多	97.12	33.35
青海囊谦	96.47	32.23
青海杂多	95.3	32.92
青海治多	95.6	33.86
青海曲麻菜	95.5	34.52
青海格尔木	94.9	36.41
青海乌兰	98.46	36.9
青海都兰	98.13	36.3
青海天峻	99.03	37.28
黑龙江哈尔滨	126.63	45.75
黑龙江齐齐哈尔	123.97	47.33
黑龙江鹤岗	130.3	47.33
黑龙江双鸭山	131.17	46.65
黑龙江鸡四	130.97	45.3
黑龙江大庆	125.03	46.58
黑龙江伊春	128.92	47.73
黑龙江嘉荫	130	48.93
黑龙江铁力	128.08	47.98
黑龙江绥化	127	46.63
黑龙江绥棱	127.12	47.22
黑龙江海伦	126.97	47.47
黑龙江庆安	127.5	46.87
黑龙江兰西	126.3	46.28
黑龙江肇东	125.98	46.07
黑龙江肇州	125.25	45.72
黑龙江肇源	125.07	45.53
黑龙江安达	125.33	46.42
黑龙江明水	125.88	47.18
黑龙江青岗	126.13	46.68
黑龙江望奎	126.5	46.83
黑龙江黑河	127.53	50.22
黑龙江爱辉	127.53	50.22
黑龙江德都	126.17	48.5
黑龙江通北	126.8	49.76
黑龙江北安	126.5	48.22
黑龙江孙吴	127.5	49.22
黑龙江逊克	128.42	49.57
黑龙江嫩江	125.2	49.17
黑龙江佳木斯	130.35	46.83
黑龙江桦川	130.68	47.02
黑龙江萝北	130.83	47.58
黑龙江绥滨	131.83	47.3
黑龙江富锦	132.02	47.23
黑龙江同江	132.5	47.67
黑龙江抚远	134.15	48.33
黑龙江饶河	134	46.78
黑龙江七台河	130.83	45.82
黑龙江宝清	132.17	46.33
黑龙江集贤	131.13	46.7
黑龙江勃利	130.53	45.75
黑龙江桦南	130.53	46.25
黑龙江依兰	129.55	46.33
黑龙江汤源	129.92	46.73
黑龙江牡丹江	129.58	44.6
黑龙江林口	130.23	45.3
黑龙江鸡东	131.04	45.27
黑龙江密山	131.85	45.53
黑龙江虎林	133.97	45.75
黑龙江绥芬河	131.17	44.38
黑龙江东宁	131.12	44.07
黑龙江穆棱	130.5	44.9
黑龙江宁安	129.47	44.35
黑龙江海林	129.35	44.57
黑龙江阿城	126.95	45.52
黑龙江呼兰	126.58	46
黑龙江巴彦	127.38	46.08
黑龙江宾县	127.48	45.75
黑龙江木兰	128.03	45.95
黑龙江通河	128.7	45.98
黑龙江方正	128.8	45.83
黑龙江延寿	128.35	45.47
黑龙江尚志	127.95	45.22
黑龙江五常	127.17	44.93
黑龙江双城	126.32	45.53
黑龙江富裕	124.4	47.8
黑龙江讷河	124.85	48.48
黑龙江克山	125.87	48.03
黑龙江克东	126.22	48.03
黑龙江拜泉	126.07	47.62
黑龙江依安	125.3	47.92
黑龙江林甸	124.87	47.18
黑龙江泰来	123.45	46.4
黑龙江龙江	123.18	47.35
黑龙江甘南	123.48	47.9
黑龙江杜尔伯特	124.44	46.86
黑龙江加格达奇	124.07	50.42
黑龙江呼玛	126.6	51.72
黑龙江塔河	124.7	52.32
黑龙江漠河	122.37	53.48
